Filename,LogPath,XYZPath,Dipole,Energy
1144,./Data1/logs/1144.log,./Data1/coord/1144.xyz,5.901,-50.4416677
1145,./Data1/logs/1145.log,./Data1/coord/1145.xyz,5.898,-50.4416678
1146,./Data1/logs/1146.log,./Data1/coord/1146.xyz,5.895,-50.4416677
1147,./Data1/logs/1147.log,./Data1/coord/1147.xyz,5.898,-50.4416677
1148,./Data1/logs/1148.log,./Data1/coord/1148.xyz,5.897,-50.4416677
1149,./Data1/logs/1149.log,./Data1/coord/1149.xyz,5.897,-50.4416677
114,./Data1/logs/114.log,./Data1/coord/114.xyz,5.862,-50.4540681
1150,./Data1/logs/1150.log,./Data1/coord/1150.xyz,8.708,-50.4545441
1151,./Data1/logs/1151.log,./Data1/coord/1151.xyz,5.800,-50.4602150
1152,./Data1/logs/1152.log,./Data1/coord/1152.xyz,5.802,-50.4602151
1153,./Data1/logs/1153.log,./Data1/coord/1153.xyz,5.803,-50.4602152
1154,./Data1/logs/1154.log,./Data1/coord/1154.xyz,5.816,-50.4602152
1155,./Data1/logs/1155.log,./Data1/coord/1155.xyz,4.969,-50.4413726
1156,./Data1/logs/1156.log,./Data1/coord/1156.xyz,5.800,-50.4602151
1157,./Data1/logs/1157.log,./Data1/coord/1157.xyz,5.803,-50.4602151
1158,./Data1/logs/1158.log,./Data1/coord/1158.xyz,5.814,-50.4602152
1159,./Data1/logs/1159.log,./Data1/coord/1159.xyz,3.109,-50.4642280
115,./Data1/logs/115.log,./Data1/coord/115.xyz,5.641,-50.4684678
1160,./Data1/logs/1160.log,./Data1/coord/1160.xyz,7.017,-50.4598109
1161,./Data1/logs/1161.log,./Data1/coord/1161.xyz,7.022,-50.4598109
1162,./Data1/logs/1162.log,./Data1/coord/1162.xyz,7.028,-50.4598110
1163,./Data1/logs/1163.log,./Data1/coord/1163.xyz,7.029,-50.4598109
1164,./Data1/logs/1164.log,./Data1/coord/1164.xyz,7.032,-50.4598109
1165,./Data1/logs/1165.log,./Data1/coord/1165.xyz,7.017,-50.4598109
1166,./Data1/logs/1166.log,./Data1/coord/1166.xyz,7.009,-50.4598108
1167,./Data1/logs/1167.log,./Data1/coord/1167.xyz,3.108,-50.4642283
1168,./Data1/logs/1168.log,./Data1/coord/1168.xyz,7.031,-50.4598111
1169,./Data1/logs/1169.log,./Data1/coord/1169.xyz,7.026,-50.4598111
116,./Data1/logs/116.log,./Data1/coord/116.xyz,4.395,-50.4539149
1170,./Data1/logs/1170.log,./Data1/coord/1170.xyz,7.026,-50.4598109
1171,./Data1/logs/1171.log,./Data1/coord/1171.xyz,7.020,-50.4598111
1172,./Data1/logs/1172.log,./Data1/coord/1172.xyz,2.953,-50.4683691
1173,./Data1/logs/1173.log,./Data1/coord/1173.xyz,8.931,-50.4561232
1174,./Data1/logs/1174.log,./Data1/coord/1174.xyz,5.618,-50.4549019
1175,./Data1/logs/1175.log,./Data1/coord/1175.xyz,7.920,-50.4564045
1176,./Data1/logs/1176.log,./Data1/coord/1176.xyz,8.064,-50.4568362
1177,./Data1/logs/1177.log,./Data1/coord/1177.xyz,7.661,-50.4578890
1178,./Data1/logs/1178.log,./Data1/coord/1178.xyz,3.591,-50.4673185
1179,./Data1/logs/1179.log,./Data1/coord/1179.xyz,3.590,-50.4673185
117,./Data1/logs/117.log,./Data1/coord/117.xyz,5.621,-50.4549020
1180,./Data1/logs/1180.log,./Data1/coord/1180.xyz,3.591,-50.4673185
1181,./Data1/logs/1181.log,./Data1/coord/1181.xyz,3.584,-50.4673182
1182,./Data1/logs/1182.log,./Data1/coord/1182.xyz,3.592,-50.4673185
1183,./Data1/logs/1183.log,./Data1/coord/1183.xyz,3.588,-50.4673185
1184,./Data1/logs/1184.log,./Data1/coord/1184.xyz,3.590,-50.4673185
1185,./Data1/logs/1185.log,./Data1/coord/1185.xyz,3.589,-50.4673185
1186,./Data1/logs/1186.log,./Data1/coord/1186.xyz,3.589,-50.4673186
1187,./Data1/logs/1187.log,./Data1/coord/1187.xyz,3.589,-50.4673185
1188,./Data1/logs/1188.log,./Data1/coord/1188.xyz,3.589,-50.4673185
1189,./Data1/logs/1189.log,./Data1/coord/1189.xyz,3.590,-50.4673185
118,./Data1/logs/118.log,./Data1/coord/118.xyz,5.618,-50.4549020
1190,./Data1/logs/1190.log,./Data1/coord/1190.xyz,3.589,-50.4673185
1191,./Data1/logs/1191.log,./Data1/coord/1191.xyz,3.590,-50.4673185
1192,./Data1/logs/1192.log,./Data1/coord/1192.xyz,3.589,-50.4673185
1193,./Data1/logs/1193.log,./Data1/coord/1193.xyz,3.590,-50.4673185
1194,./Data1/logs/1194.log,./Data1/coord/1194.xyz,3.589,-50.4673185
1195,./Data1/logs/1195.log,./Data1/coord/1195.xyz,6.286,-50.4449363
1196,./Data1/logs/1196.log,./Data1/coord/1196.xyz,6.282,-50.4449365
1197,./Data1/logs/1197.log,./Data1/coord/1197.xyz,6.281,-50.4449360
1198,./Data1/logs/1198.log,./Data1/coord/1198.xyz,6.288,-50.4449362
1199,./Data1/logs/1199.log,./Data1/coord/1199.xyz,6.283,-50.4449363
119,./Data1/logs/119.log,./Data1/coord/119.xyz,5.609,-50.4549016
11,./Data1/logs/11.log,./Data1/coord/11.xyz,5.862,-50.4540675
1200,./Data1/logs/1200.log,./Data1/coord/1200.xyz,6.282,-50.4449366
1201,./Data1/logs/1201.log,./Data1/coord/1201.xyz,6.279,-50.4449361
1202,./Data1/logs/1202.log,./Data1/coord/1202.xyz,6.283,-50.4449366
1203,./Data1/logs/1203.log,./Data1/coord/1203.xyz,6.288,-50.4449362
1204,./Data1/logs/1204.log,./Data1/coord/1204.xyz,6.282,-50.4449365
1205,./Data1/logs/1205.log,./Data1/coord/1205.xyz,6.282,-50.4449366
1206,./Data1/logs/1206.log,./Data1/coord/1206.xyz,6.284,-50.4449366
1207,./Data1/logs/1207.log,./Data1/coord/1207.xyz,6.282,-50.4449364
1208,./Data1/logs/1208.log,./Data1/coord/1208.xyz,6.283,-50.4449360
1209,./Data1/logs/1209.log,./Data1/coord/1209.xyz,6.285,-50.4449364
120,./Data1/logs/120.log,./Data1/coord/120.xyz,3.299,-50.4452905
1210,./Data1/logs/1210.log,./Data1/coord/1210.xyz,6.282,-50.4449364
1211,./Data1/logs/1211.log,./Data1/coord/1211.xyz,6.284,-50.4449362
1212,./Data1/logs/1212.log,./Data1/coord/1212.xyz,7.282,-50.4553922
1213,./Data1/logs/1213.log,./Data1/coord/1213.xyz,9.066,-50.4637965
1214,./Data1/logs/1214.log,./Data1/coord/1214.xyz,5.663,-50.4551403
1215,./Data1/logs/1215.log,./Data1/coord/1215.xyz,2.184,-50.4414539
1216,./Data1/logs/1216.log,./Data1/coord/1216.xyz,5.598,-50.4544600
1217,./Data1/logs/1217.log,./Data1/coord/1217.xyz,5.594,-50.4544600
1218,./Data1/logs/1218.log,./Data1/coord/1218.xyz,2.187,-50.4414540
1219,./Data1/logs/1219.log,./Data1/coord/1219.xyz,5.593,-50.4544597
121,./Data1/logs/121.log,./Data1/coord/121.xyz,3.307,-50.4452901
1220,./Data1/logs/1220.log,./Data1/coord/1220.xyz,2.185,-50.4414539
1221,./Data1/logs/1221.log,./Data1/coord/1221.xyz,2.183,-50.4414539
1222,./Data1/logs/1222.log,./Data1/coord/1222.xyz,2.183,-50.4414538
1223,./Data1/logs/1223.log,./Data1/coord/1223.xyz,5.601,-50.4544601
1224,./Data1/logs/1224.log,./Data1/coord/1224.xyz,2.177,-50.4414537
1225,./Data1/logs/1225.log,./Data1/coord/1225.xyz,5.594,-50.4544598
1226,./Data1/logs/1226.log,./Data1/coord/1226.xyz,2.184,-50.4414539
1227,./Data1/logs/1227.log,./Data1/coord/1227.xyz,2.186,-50.4414540
1228,./Data1/logs/1228.log,./Data1/coord/1228.xyz,5.597,-50.4544599
1229,./Data1/logs/1229.log,./Data1/coord/1229.xyz,2.185,-50.4414538
122,./Data1/logs/122.log,./Data1/coord/122.xyz,5.593,-50.4549012
1230,./Data1/logs/1230.log,./Data1/coord/1230.xyz,5.596,-50.4544600
1231,./Data1/logs/1231.log,./Data1/coord/1231.xyz,2.176,-50.4414535
1232,./Data1/logs/1232.log,./Data1/coord/1232.xyz,5.596,-50.4544599
1233,./Data1/logs/1233.log,./Data1/coord/1233.xyz,2.179,-50.4414537
1234,./Data1/logs/1234.log,./Data1/coord/1234.xyz,2.176,-50.4414536
1235,./Data1/logs/1235.log,./Data1/coord/1235.xyz,2.176,-50.4414536
1236,./Data1/logs/1236.log,./Data1/coord/1236.xyz,2.174,-50.4414535
1237,./Data1/logs/1237.log,./Data1/coord/1237.xyz,2.175,-50.4414536
1238,./Data1/logs/1238.log,./Data1/coord/1238.xyz,2.173,-50.4414535
1239,./Data1/logs/1239.log,./Data1/coord/1239.xyz,5.600,-50.4544600
123,./Data1/logs/123.log,./Data1/coord/123.xyz,3.294,-50.4452904
1240,./Data1/logs/1240.log,./Data1/coord/1240.xyz,5.597,-50.4544599
1241,./Data1/logs/1241.log,./Data1/coord/1241.xyz,5.606,-50.4544602
1242,./Data1/logs/1242.log,./Data1/coord/1242.xyz,5.597,-50.4544600
1243,./Data1/logs/1243.log,./Data1/coord/1243.xyz,5.599,-50.4544601
1244,./Data1/logs/1244.log,./Data1/coord/1244.xyz,6.063,-50.4474798
1245,./Data1/logs/1245.log,./Data1/coord/1245.xyz,3.430,-50.4631398
1246,./Data1/logs/1246.log,./Data1/coord/1246.xyz,3.432,-50.4631397
1247,./Data1/logs/1247.log,./Data1/coord/1247.xyz,3.437,-50.4631396
1248,./Data1/logs/1248.log,./Data1/coord/1248.xyz,3.449,-50.4631395
1249,./Data1/logs/1249.log,./Data1/coord/1249.xyz,3.433,-50.4631396
124,./Data1/logs/124.log,./Data1/coord/124.xyz,5.618,-50.4549020
1250,./Data1/logs/1250.log,./Data1/coord/1250.xyz,3.426,-50.4631399
1251,./Data1/logs/1251.log,./Data1/coord/1251.xyz,3.435,-50.4631397
1252,./Data1/logs/1252.log,./Data1/coord/1252.xyz,3.444,-50.4631395
1253,./Data1/logs/1253.log,./Data1/coord/1253.xyz,3.436,-50.4631398
1254,./Data1/logs/1254.log,./Data1/coord/1254.xyz,3.434,-50.4631397
1255,./Data1/logs/1255.log,./Data1/coord/1255.xyz,3.448,-50.4631395
1256,./Data1/logs/1256.log,./Data1/coord/1256.xyz,3.429,-50.4631398
1257,./Data1/logs/1257.log,./Data1/coord/1257.xyz,3.450,-50.4631395
1258,./Data1/logs/1258.log,./Data1/coord/1258.xyz,3.429,-50.4631398
1259,./Data1/logs/1259.log,./Data1/coord/1259.xyz,3.428,-50.4631399
125,./Data1/logs/125.log,./Data1/coord/125.xyz,5.620,-50.4549021
1260,./Data1/logs/1260.log,./Data1/coord/1260.xyz,3.441,-50.4631396
1261,./Data1/logs/1261.log,./Data1/coord/1261.xyz,3.423,-50.4631399
1262,./Data1/logs/1262.log,./Data1/coord/1262.xyz,3.941,-50.4611186
1263,./Data1/logs/1263.log,./Data1/coord/1263.xyz,3.432,-50.4631398
1264,./Data1/logs/1264.log,./Data1/coord/1264.xyz,9.048,-50.4527170
1265,./Data1/logs/1265.log,./Data1/coord/1265.xyz,8.709,-50.4545441
1266,./Data1/logs/1266.log,./Data1/coord/1266.xyz,8.318,-50.4519236
1267,./Data1/logs/1267.log,./Data1/coord/1267.xyz,8.318,-50.4519235
1268,./Data1/logs/1268.log,./Data1/coord/1268.xyz,8.318,-50.4519235
1269,./Data1/logs/1269.log,./Data1/coord/1269.xyz,8.318,-50.4519235
126,./Data1/logs/126.log,./Data1/coord/126.xyz,5.613,-50.4549020
1270,./Data1/logs/1270.log,./Data1/coord/1270.xyz,8.316,-50.4519235
1271,./Data1/logs/1271.log,./Data1/coord/1271.xyz,8.317,-50.4519235
1272,./Data1/logs/1272.log,./Data1/coord/1272.xyz,8.318,-50.4519235
1273,./Data1/logs/1273.log,./Data1/coord/1273.xyz,8.318,-50.4519234
1274,./Data1/logs/1274.log,./Data1/coord/1274.xyz,8.317,-50.4519235
1275,./Data1/logs/1275.log,./Data1/coord/1275.xyz,8.317,-50.4519236
1276,./Data1/logs/1276.log,./Data1/coord/1276.xyz,8.320,-50.4519235
1277,./Data1/logs/1277.log,./Data1/coord/1277.xyz,8.318,-50.4519235
1278,./Data1/logs/1278.log,./Data1/coord/1278.xyz,6.486,-50.4531641
1279,./Data1/logs/1279.log,./Data1/coord/1279.xyz,6.491,-50.4531639
127,./Data1/logs/127.log,./Data1/coord/127.xyz,5.613,-50.4549017
1280,./Data1/logs/1280.log,./Data1/coord/1280.xyz,6.489,-50.4531642
1281,./Data1/logs/1281.log,./Data1/coord/1281.xyz,6.489,-50.4531640
1282,./Data1/logs/1282.log,./Data1/coord/1282.xyz,6.485,-50.4531640
1283,./Data1/logs/1283.log,./Data1/coord/1283.xyz,6.488,-50.4531637
1284,./Data1/logs/1284.log,./Data1/coord/1284.xyz,6.490,-50.4531641
1285,./Data1/logs/1285.log,./Data1/coord/1285.xyz,6.488,-50.4531642
1286,./Data1/logs/1286.log,./Data1/coord/1286.xyz,6.491,-50.4531632
1287,./Data1/logs/1287.log,./Data1/coord/1287.xyz,8.318,-50.4519235
1288,./Data1/logs/1288.log,./Data1/coord/1288.xyz,6.488,-50.4531640
1289,./Data1/logs/1289.log,./Data1/coord/1289.xyz,8.317,-50.4519236
128,./Data1/logs/128.log,./Data1/coord/128.xyz,3.293,-50.4452905
1290,./Data1/logs/1290.log,./Data1/coord/1290.xyz,8.316,-50.4519235
1291,./Data1/logs/1291.log,./Data1/coord/1291.xyz,8.318,-50.4519236
1292,./Data1/logs/1292.log,./Data1/coord/1292.xyz,8.317,-50.4519235
1293,./Data1/logs/1293.log,./Data1/coord/1293.xyz,6.490,-50.4531637
1294,./Data1/logs/1294.log,./Data1/coord/1294.xyz,6.491,-50.4531642
1295,./Data1/logs/1295.log,./Data1/coord/1295.xyz,8.318,-50.4519235
1296,./Data1/logs/1296.log,./Data1/coord/1296.xyz,6.493,-50.4531642
1297,./Data1/logs/1297.log,./Data1/coord/1297.xyz,6.485,-50.4531641
1298,./Data1/logs/1298.log,./Data1/coord/1298.xyz,6.487,-50.4531641
1299,./Data1/logs/1299.log,./Data1/coord/1299.xyz,6.489,-50.4531642
129,./Data1/logs/129.log,./Data1/coord/129.xyz,6.063,-50.4500266
12,./Data1/logs/12.log,./Data1/coord/12.xyz,5.861,-50.4540677
